domain, category, score, first_seen, last_seen, ports (|)
domain.com,27,58,2019-04-13,2019-11-14,80
domain.com,27,31,2019-10-18,2019-10-18,80
domain.com,4,122,2020-01-19,2020-01-21,80
domain.com,27,56,2019-11-12,2019-11-12,80
domain.com,27,50,2019-11-06,2019-11-06,80
domain.com,27,92,2019-12-17,2019-12-18,80
domain.com,1,122,2018-03-11,2020-01-22,80
domain.com,1,127,2018-03-11,2018-06-18,
domain.com,27,119,2020-01-14,2020-01-14,80
*domain.com,27,119,2020-02-12,2020-02-14,80
*.domain.com,27,119,2020-02-14,2020-02-14,80
d*domain.com,27,119,2020-01-10,2020-02-14,80
