Integration ID,Integration File Path,Connector ID,assignee,Auth Details,Params to Commands,verify button placement,Param Defaults,Params to Capabilities,generated manifest,run manifest make validate,wrote/checked code,shadowed command test passes,write tests,precommit/validate/unit tests passed,auth parity test passes,param parity test passes,code reviewed,code merged,Author image path
AMP,Packs/AMP/Integrations/AMP/AMP.yml,Cisco Security,,,,,,,,,,,,,,,,,Packs/CiscoThousandEyes/Author_image.png
AMPv2,Packs/AMP/Integrations/AMPv2/AMPv2.yml,Cisco Security,,,,,,,,,,,,,,,,,Packs/CiscoThousandEyes/Author_image.png
APIVoid,Packs/APIVoid/Integrations/APIVoid/APIVoid.yml,APIVoid,,,,,,,,,,,,,,,,,Packs/APIVoid/Integrations/APIVoid/APIVoid_image.png
AWS - ACM,Packs/AWS-ACM/Integrations/AWS-ACM/AWS-ACM.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
AWS - AccessAnalyzer,Packs/AWS-AccessAnalyzer/Integrations/AWS-AccessAnalyzer/AWS-AccessAnalyzer.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
AWS - Athena - Beta,Packs/AWS-Athena/Integrations/AWS-Athena/AWS-Athena.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
AWS - CloudTrail,Packs/AWS-CloudTrail/Integrations/AWS-CloudTrail/AWS-CloudTrail.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
AWS - CloudWatchLogs,Packs/AWS-CloudWatchLogs/Integrations/AWS-CloudWatchLogs/AWS-CloudWatchLogs.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
AWS - EC2,Packs/AWS-EC2/Integrations/AWS-EC2/AWS-EC2.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
AWS - GuardDuty,Packs/AWS-GuardDuty/Integrations/AWSGuardDuty/AWSGuardDuty.yml,AWS,,,,,,,,,,,,,,,,,Packs/AWS_DynamoDB/Integrations/AWS_DynamoDB/AWS_DynamoDB_image.png
